Artist,Year,CumWeeksAtNo1
Bruno Mars,2024,16
Bruno Mars,2025,16
Bruno Mars,2026,19
Christina Aguilera,2000,6
Christina Aguilera,2001,11
Christina Aguilera,2002,11
Christina Aguilera,2003,11
Christina Aguilera,2004,11
Christina Aguilera,2005,11
Christina Aguilera,2006,11
Christina Aguilera,2007,11
Christina Aguilera,2008,11
Christina Aguilera,2009,11
Christina Aguilera,2010,11
Christina Aguilera,2011,11
Christina Aguilera,2012,11
Christina Aguilera,2013,11
Christina Aguilera,2014,11
Christina Aguilera,2015,11
Christina Aguilera,2016,11
Christina Aguilera,2017,11
Christina Aguilera,2018,11
Christina Aguilera,2019,11
Christina Aguilera,2020,11
Christina Aguilera,2021,11
Christina Aguilera,2022,11
Christina Aguilera,2023,11
Christina Aguilera,2024,11
Christina Aguilera,2025,11
Christina Aguilera,2026,11
Ciara,2000,0
Ciara,2001,0
Ciara,2002,0
Ciara,2003,0
Ciara,2004,7
Ciara,2005,7
Ciara,2006,7
Ciara,2007,7
Ciara,2008,7
Ciara,2009,7
Ciara,2010,7
Ciara,2011,7
Ciara,2012,7
Ciara,2013,7
Ciara,2014,7
Ciara,2015,7
Ciara,2016,7
Ciara,2017,7
Ciara,2018,7
Ciara,2019,7
Ciara,2020,7
Ciara,2021,7
Ciara,2022,7
Ciara,2023,7
Ciara,2024,7
Ciara,2025,7
Ciara,2026,7
Creed,2000,1
Creed,2001,1
Creed,2002,1
Creed,2003,1
Creed,2004,1
Creed,2005,1
Creed,2006,1
Creed,2007,1
Creed,2008,1
Creed,2009,1
Creed,2010,1
Creed,2011,1
Creed,2012,1
Creed,2013,1
Creed,2014,1
Creed,2015,1
Creed,2016,1
Creed,2017,1
Creed,2018,1
Creed,2019,1
Creed,2020,1
Creed,2021,1
Creed,2022,1
Creed,2023,1
Creed,2024,1
Creed,2025,1
Creed,2026,1
Destiny's Child,2000,10
Destiny's Child,2001,16
Destiny's Child,2002,16
Destiny's Child,2003,16
Destiny's Child,2004,16
Destiny's Child,2005,16
Destiny's Child,2006,16
Destiny's Child,2007,16
Destiny's Child,2008,16
Destiny's Child,2009,16
Destiny's Child,2010,16
Destiny's Child,2011,16
Destiny's Child,2012,16
Destiny's Child,2013,16
Destiny's Child,2014,16
Destiny's Child,2015,16
Destiny's Child,2016,16
Destiny's Child,2017,16
Destiny's Child,2018,16
Destiny's Child,2019,16
Destiny's Child,2020,16
Destiny's Child,2021,16
Destiny's Child,2022,16
Destiny's Child,2023,16
Destiny's Child,2024,16
Destiny's Child,2025,16
Destiny's Child,2026,16
Drake,2000,0
Drake,2001,0
Drake,2002,0
Drake,2003,0
Drake,2004,0
Drake,2005,0
Drake,2006,0
Drake,2007,0
Drake,2008,0
Drake,2009,0
Drake,2010,0
Drake,2011,0
Drake,2012,0
Drake,2013,0
Drake,2014,0
Drake,2015,0
Drake,2016,10
Drake,2017,10
Drake,2018,39
Drake,2019,39
Drake,2020,40
Drake,2021,42
Drake,2022,43
Drake,2023,45
Drake,2024,45
Drake,2025,45
Drake,2026,47
Ed Sheeran,2000,0
Ed Sheeran,2001,0
Ed Sheeran,2002,0
Ed Sheeran,2003,0
Ed Sheeran,2004,0
Ed Sheeran,2005,0
Ed Sheeran,2006,0
Ed Sheeran,2007,0
Ed Sheeran,2008,0
Ed Sheeran,2009,0
Ed Sheeran,2010,0
Ed Sheeran,2011,0
Ed Sheeran,2012,0
Ed Sheeran,2013,0
Ed Sheeran,2014,0
Ed Sheeran,2015,0
Ed Sheeran,2016,0
Ed Sheeran,2017,14
Ed Sheeran,2018,17
Ed Sheeran,2019,17
Ed Sheeran,2020,17
Ed Sheeran,2021,17
Ed Sheeran,2022,17
Ed Sheeran,2023,17
Ed Sheeran,2024,17
Ed Sheeran,2025,17
Ed Sheeran,2026,17
Eminem,2000,0
Eminem,2001,0
Eminem,2002,8
Eminem,2003,12
Eminem,2004,12
Eminem,2005,12
Eminem,2006,12
Eminem,2007,12
Eminem,2008,12
Eminem,2009,13
Eminem,2010,21
Eminem,2011,21
Eminem,2012,21
Eminem,2013,23
Eminem,2014,25
Eminem,2015,25
Eminem,2016,25
Eminem,2017,25
Eminem,2018,25
Eminem,2019,25
Eminem,2020,25
Eminem,2021,25
Eminem,2022,25
Eminem,2023,25
Eminem,2024,25
Eminem,2025,25
Eminem,2026,25
Enrique Iglesias,2000,3
Enrique Iglesias,2001,3
Enrique Iglesias,2002,3
Enrique Iglesias,2003,3
Enrique Iglesias,2004,3
Enrique Iglesias,2005,3
Enrique Iglesias,2006,3
Enrique Iglesias,2007,3
Enrique Iglesias,2008,3
Enrique Iglesias,2009,3
Enrique Iglesias,2010,3
Enrique Iglesias,2011,3
Enrique Iglesias,2012,3
Enrique Iglesias,2013,3
Enrique Iglesias,2014,3
Enrique Iglesias,2015,3
Enrique Iglesias,2016,3
Enrique Iglesias,2017,3
Enrique Iglesias,2018,3
Enrique Iglesias,2019,3
Enrique Iglesias,2020,3
Enrique Iglesias,2021,3
Enrique Iglesias,2022,3
Enrique Iglesias,2023,3
Enrique Iglesias,2024,3
Enrique Iglesias,2025,3
Enrique Iglesias,2026,3
Flo Rida,2000,0
Flo Rida,2001,0
Flo Rida,2002,0
Flo Rida,2003,0
Flo Rida,2004,0
Flo Rida,2005,0
Flo Rida,2006,0
Flo Rida,2007,0
Flo Rida,2008,10
Flo Rida,2009,16
Flo Rida,2010,16
Flo Rida,2011,16
Flo Rida,2012,18
Flo Rida,2013,18
Flo Rida,2014,18
Flo Rida,2015,18
Flo Rida,2016,18
Flo Rida,2017,18
Flo Rida,2018,18
Flo Rida,2019,18
Flo Rida,2020,18
Flo Rida,2021,18
Flo Rida,2022,18
Flo Rida,2023,18
Flo Rida,2024,18
Flo Rida,2025,18
Flo Rida,2026,18
Janet,2000,3
Janet,2001,10
Janet,2002,10
Janet,2003,10
Janet,2004,10
Janet,2005,10
Janet,2006,10
Janet,2007,10
Janet,2008,10
Janet,2009,10
Janet,2010,10
Janet,2011,10
Janet,2012,10
Janet,2013,10
Janet,2014,10
Janet,2015,10
Janet,2016,10
Janet,2017,10
Janet,2018,10
Janet,2019,10
Janet,2020,10
Janet,2021,10
Janet,2022,10
Janet,2023,10
Janet,2024,10
Janet,2025,10
Janet,2026,10
Jennifer Lopez,2000,0
Jennifer Lopez,2001,5
Jennifer Lopez,2002,11
Jennifer Lopez,2003,15
Jennifer Lopez,2004,15
Jennifer Lopez,2005,15
Jennifer Lopez,2006,15
Jennifer Lopez,2007,15
Jennifer Lopez,2008,15
Jennifer Lopez,2009,15
Jennifer Lopez,2010,15
Jennifer Lopez,2011,15
Jennifer Lopez,2012,15
Jennifer Lopez,2013,15
Jennifer Lopez,2014,15
Jennifer Lopez,2015,15
Jennifer Lopez,2016,15
Jennifer Lopez,2017,15
Jennifer Lopez,2018,15
Jennifer Lopez,2019,15
Jennifer Lopez,2020,15
Jennifer Lopez,2021,15
Jennifer Lopez,2022,15
Jennifer Lopez,2023,15
Jennifer Lopez,2024,15
Jennifer Lopez,2025,15
Jennifer Lopez,2026,15
Joe,2000,0
Joe,2001,4
Joe,2002,4
Joe,2003,4
Joe,2004,4
Joe,2005,4
Joe,2006,4
Joe,2007,4
Joe,2008,4
Joe,2009,4
Joe,2010,4
Joe,2011,4
Joe,2012,4
Joe,2013,4
Joe,2014,4
Joe,2015,4
Joe,2016,4
Joe,2017,4
Joe,2018,4
Joe,2019,4
Joe,2020,4
Joe,2021,4
Joe,2022,4
Joe,2023,4
Joe,2024,4
Joe,2025,4
Joe,2026,4
Justin Timberlake,2000,0
Justin Timberlake,2001,0
Justin Timberlake,2002,0
Justin Timberlake,2003,0
Justin Timberlake,2004,0
Justin Timberlake,2005,0
Justin Timberlake,2006,10
Justin Timberlake,2007,11
Justin Timberlake,2008,11
Justin Timberlake,2009,11
Justin Timberlake,2010,11
Justin Timberlake,2011,11
Justin Timberlake,2012,11
Justin Timberlake,2013,11
Justin Timberlake,2014,11
Justin Timberlake,2015,11
Justin Timberlake,2016,12
Justin Timberlake,2017,12
Justin Timberlake,2018,12
Justin Timberlake,2019,12
Justin Timberlake,2020,12
Justin Timberlake,2021,12
Justin Timberlake,2022,12
Justin Timberlake,2023,12
Justin Timberlake,2024,12
Justin Timberlake,2025,12
Justin Timberlake,2026,12
Kanye West,2000,0
Kanye West,2001,0
Kanye West,2002,0
Kanye West,2003,0
Kanye West,2004,0
Kanye West,2005,10
Kanye West,2006,10
Kanye West,2007,11
Kanye West,2008,11
Kanye West,2009,11
Kanye West,2010,11
Kanye West,2011,11
Kanye West,2012,11
Kanye West,2013,11
Kanye West,2014,11
Kanye West,2015,11
Kanye West,2016,11
Kanye West,2017,11
Kanye West,2018,11
Kanye West,2019,11
Kanye West,2020,11
Kanye West,2021,11
Kanye West,2022,11
Kanye West,2023,11
Kanye West,2024,11
Kanye West,2025,11
Kanye West,2026,11
Katy Perry,2000,0
Katy Perry,2001,0
Katy Perry,2002,0
Katy Perry,2003,0
Katy Perry,2004,0
Katy Perry,2005,0
Katy Perry,2006,0
Katy Perry,2007,0
Katy Perry,2008,7
Katy Perry,2009,7
Katy Perry,2010,17
Katy Perry,2011,26
Katy Perry,2012,27
Katy Perry,2013,29
Katy Perry,2014,33
Katy Perry,2015,33
Katy Perry,2016,33
Katy Perry,2017,33
Katy Perry,2018,33
Katy Perry,2019,33
Katy Perry,2020,33
Katy Perry,2021,33
Katy Perry,2022,33
Katy Perry,2023,33
Katy Perry,2024,33
Katy Perry,2025,33
Katy Perry,2026,33
Lil Nas X,2000,0
Lil Nas X,2001,0
Lil Nas X,2002,0
Lil Nas X,2003,0
Lil Nas X,2004,0
Lil Nas X,2005,0
Lil Nas X,2006,0
Lil Nas X,2007,0
Lil Nas X,2008,0
Lil Nas X,2009,0
Lil Nas X,2010,0
Lil Nas X,2011,0
Lil Nas X,2012,0
Lil Nas X,2013,0
Lil Nas X,2014,0
Lil Nas X,2015,0
Lil Nas X,2016,0
Lil Nas X,2017,0
Lil Nas X,2018,0
Lil Nas X,2019,19
Lil Nas X,2020,19
Lil Nas X,2021,21
Lil Nas X,2022,21
Lil Nas X,2023,21
Lil Nas X,2024,21
Lil Nas X,2025,21
Lil Nas X,2026,21
Lonestar,2000,2
Lonestar,2001,2
Lonestar,2002,2
Lonestar,2003,2
Lonestar,2004,2
Lonestar,2005,2
Lonestar,2006,2
Lonestar,2007,2
Lonestar,2008,2
Lonestar,2009,2
Lonestar,2010,2
Lonestar,2011,2
Lonestar,2012,2
Lonestar,2013,2
Lonestar,2014,2
Lonestar,2015,2
Lonestar,2016,2
Lonestar,2017,2
Lonestar,2018,2
Lonestar,2019,2
Lonestar,2020,2
Lonestar,2021,2
Lonestar,2022,2
Lonestar,2023,2
Lonestar,2024,2
Lonestar,2025,2
Lonestar,2026,2
Madonna,2000,4
Madonna,2001,4
Madonna,2002,4
Madonna,2003,4
Madonna,2004,4
Madonna,2005,4
Madonna,2006,4
Madonna,2007,4
Madonna,2008,4
Madonna,2009,4
Madonna,2010,4
Madonna,2011,4
Madonna,2012,4
Madonna,2013,4
Madonna,2014,4
Madonna,2015,4
Madonna,2016,4
Madonna,2017,4
Madonna,2018,4
Madonna,2019,4
Madonna,2020,4
Madonna,2021,4
Madonna,2022,4
Madonna,2023,4
Madonna,2024,4
Madonna,2025,4
Madonna,2026,4
Mariah Carey,2000,1
Mariah Carey,2001,1
Mariah Carey,2002,1
Mariah Carey,2003,1
Mariah Carey,2004,1
Mariah Carey,2005,16
Mariah Carey,2006,17
Mariah Carey,2007,17
Mariah Carey,2008,19
Mariah Carey,2009,19
Mariah Carey,2010,19
Mariah Carey,2011,19
Mariah Carey,2012,19
Mariah Carey,2013,19
Mariah Carey,2014,19
Mariah Carey,2015,19
Mariah Carey,2016,19
Mariah Carey,2017,19
Mariah Carey,2018,19
Mariah Carey,2019,21
Mariah Carey,2020,23
Mariah Carey,2021,25
Mariah Carey,2022,30
Mariah Carey,2023,33
Mariah Carey,2024,36
Mariah Carey,2025,40
Mariah Carey,2026,41
Mario,2000,0
Mario,2001,0
Mario,2002,0
Mario,2003,0
Mario,2004,0
Mario,2005,9
Mario,2006,9
Mario,2007,9
Mario,2008,9
Mario,2009,9
Mario,2010,9
Mario,2011,9
Mario,2012,9
Mario,2013,9
Mario,2014,9
Mario,2015,9
Mario,2016,9
Mario,2017,9
Mario,2018,9
Mario,2019,9
Mario,2020,9
Mario,2021,9
Mario,2022,9
Mario,2023,9
Mario,2024,9
Mario,2025,9
Mario,2026,9
Maroon 5,2000,0
Maroon 5,2001,0
Maroon 5,2002,0
Maroon 5,2003,0
Maroon 5,2004,0
Maroon 5,2005,0
Maroon 5,2006,0
Maroon 5,2007,3
Maroon 5,2008,3
Maroon 5,2009,3
Maroon 5,2010,3
Maroon 5,2011,7
Maroon 5,2012,16
Maroon 5,2013,16
Maroon 5,2014,16
Maroon 5,2015,16
Maroon 5,2016,16
Maroon 5,2017,16
Maroon 5,2018,23
Maroon 5,2019,23
Maroon 5,2020,23
Maroon 5,2021,23
Maroon 5,2022,23
Maroon 5,2023,23
Maroon 5,2024,23
Maroon 5,2025,23
Maroon 5,2026,23
Mary J. Blige,2000,0
Mary J. Blige,2001,6
Mary J. Blige,2002,6
Mary J. Blige,2003,6
Mary J. Blige,2004,6
Mary J. Blige,2005,6
Mary J. Blige,2006,6
Mary J. Blige,2007,6
Mary J. Blige,2008,6
Mary J. Blige,2009,6
Mary J. Blige,2010,6
Mary J. Blige,2011,6
Mary J. Blige,2012,6
Mary J. Blige,2013,6
Mary J. Blige,2014,6
Mary J. Blige,2015,6
Mary J. Blige,2016,6
Mary J. Blige,2017,6
Mary J. Blige,2018,6
Mary J. Blige,2019,6
Mary J. Blige,2020,6
Mary J. Blige,2021,6
Mary J. Blige,2022,6
Mary J. Blige,2023,6
Mary J. Blige,2024,6
Mary J. Blige,2025,6
Mary J. Blige,2026,6
Nelly,2000,0
Nelly,2001,0
Nelly,2002,17
Nelly,2003,21
Nelly,2004,21
Nelly,2005,21
Nelly,2006,23
Nelly,2007,23
Nelly,2008,23
Nelly,2009,23
Nelly,2010,23
Nelly,2011,23
Nelly,2012,23
Nelly,2013,23
Nelly,2014,23
Nelly,2015,23
Nelly,2016,23
Nelly,2017,23
Nelly,2018,23
Nelly,2019,23
Nelly,2020,23
Nelly,2021,23
Nelly,2022,23
Nelly,2023,23
Nelly,2024,23
Nelly,2025,23
Nelly,2026,23
Nickelback,2000,0
Nickelback,2001,2
Nickelback,2002,4
Nickelback,2003,4
Nickelback,2004,4
Nickelback,2005,4
Nickelback,2006,4
Nickelback,2007,4
Nickelback,2008,4
Nickelback,2009,4
Nickelback,2010,4
Nickelback,2011,4
Nickelback,2012,4
Nickelback,2013,4
Nickelback,2014,4
Nickelback,2015,4
Nickelback,2016,4
Nickelback,2017,4
Nickelback,2018,4
Nickelback,2019,4
Nickelback,2020,4
Nickelback,2021,4
Nickelback,2022,4
Nickelback,2023,4
Nickelback,2024,4
Nickelback,2025,4
Nickelback,2026,4
OutKast,2000,0
OutKast,2001,1
OutKast,2002,1
OutKast,2003,4
OutKast,2004,11
OutKast,2005,11
OutKast,2006,11
OutKast,2007,11
OutKast,2008,11
OutKast,2009,11
OutKast,2010,11
OutKast,2011,11
OutKast,2012,11
OutKast,2013,11
OutKast,2014,11
OutKast,2015,11
OutKast,2016,11
OutKast,2017,11
OutKast,2018,11
OutKast,2019,11
OutKast,2020,11
OutKast,2021,11
OutKast,2022,11
OutKast,2023,11
OutKast,2024,11
OutKast,2025,11
OutKast,2026,11
Rihanna,2000,0
Rihanna,2001,0
Rihanna,2002,0
Rihanna,2003,0
Rihanna,2004,0
Rihanna,2005,0
Rihanna,2006,3
Rihanna,2007,10
Rihanna,2008,13
Rihanna,2009,13
Rihanna,2010,20
Rihanna,2011,29
Rihanna,2012,34
Rihanna,2013,34
Rihanna,2014,34
Rihanna,2015,34
Rihanna,2016,43
Rihanna,2017,43
Rihanna,2018,43
Rihanna,2019,43
Rihanna,2020,43
Rihanna,2021,43
Rihanna,2022,43
Rihanna,2023,43
Rihanna,2024,43
Rihanna,2025,43
Rihanna,2026,43
Santana,2000,12
Santana,2001,12
Santana,2002,12
Santana,2003,12
Santana,2004,12
Santana,2005,12
Santana,2006,12
Santana,2007,12
Santana,2008,12
Santana,2009,12
Santana,2010,12
Santana,2011,12
Santana,2012,12
Santana,2013,12
Santana,2014,12
Santana,2015,12
Santana,2016,12
Santana,2017,12
Santana,2018,12
Santana,2019,12
Santana,2020,12
Santana,2021,12
Santana,2022,12
Santana,2023,12
Santana,2024,12
Santana,2025,12
Santana,2026,12
Savage Garden,2000,4
Savage Garden,2001,4
Savage Garden,2002,4
Savage Garden,2003,4
Savage Garden,2004,4
Savage Garden,2005,4
Savage Garden,2006,4
Savage Garden,2007,4
Savage Garden,2008,4
Savage Garden,2009,4
Savage Garden,2010,4
Savage Garden,2011,4
Savage Garden,2012,4
Savage Garden,2013,4
Savage Garden,2014,4
Savage Garden,2015,4
Savage Garden,2016,4
Savage Garden,2017,4
Savage Garden,2018,4
Savage Garden,2019,4
Savage Garden,2020,4
Savage Garden,2021,4
Savage Garden,2022,4
Savage Garden,2023,4
Savage Garden,2024,4
Savage Garden,2025,4
Savage Garden,2026,4
Shaggy,2000,0
Shaggy,2001,3
Shaggy,2002,3
Shaggy,2003,3
Shaggy,2004,3
Shaggy,2005,3
Shaggy,2006,3
Shaggy,2007,3
Shaggy,2008,3
Shaggy,2009,3
Shaggy,2010,3
Shaggy,2011,3
Shaggy,2012,3
Shaggy,2013,3
Shaggy,2014,3
Shaggy,2015,3
Shaggy,2016,3
Shaggy,2017,3
Shaggy,2018,3
Shaggy,2019,3
Shaggy,2020,3
Shaggy,2021,3
Shaggy,2022,3
Shaggy,2023,3
Shaggy,2024,3
Shaggy,2025,3
Shaggy,2026,3
Sisqo,2000,2
Sisqo,2001,2
Sisqo,2002,2
Sisqo,2003,2
Sisqo,2004,2
Sisqo,2005,2
Sisqo,2006,2
Sisqo,2007,2
Sisqo,2008,2
Sisqo,2009,2
Sisqo,2010,2
Sisqo,2011,2
Sisqo,2012,2
Sisqo,2013,2
Sisqo,2014,2
Sisqo,2015,2
Sisqo,2016,2
Sisqo,2017,2
Sisqo,2018,2
Sisqo,2019,2
Sisqo,2020,2
Sisqo,2021,2
Sisqo,2022,2
Sisqo,2023,2
Sisqo,2024,2
Sisqo,2025,2
Sisqo,2026,2
T.I.,2000,0
T.I.,2001,0
T.I.,2002,0
T.I.,2003,0
T.I.,2004,0
T.I.,2005,0
T.I.,2006,0
T.I.,2007,0
T.I.,2008,13
T.I.,2009,13
T.I.,2010,13
T.I.,2011,13
T.I.,2012,13
T.I.,2013,13
T.I.,2014,13
T.I.,2015,13
T.I.,2016,13
T.I.,2017,13
T.I.,2018,13
T.I.,2019,13
T.I.,2020,13
T.I.,2021,13
T.I.,2022,13
T.I.,2023,13
T.I.,2024,13
T.I.,2025,13
T.I.,2026,13
Taylor Swift,2000,0
Taylor Swift,2001,0
Taylor Swift,2002,0
Taylor Swift,2003,0
Taylor Swift,2004,0
Taylor Swift,2005,0
Taylor Swift,2006,0
Taylor Swift,2007,0
Taylor Swift,2008,0
Taylor Swift,2009,0
Taylor Swift,2010,0
Taylor Swift,2011,0
Taylor Swift,2012,3
Taylor Swift,2013,3
Taylor Swift,2014,12
Taylor Swift,2015,15
Taylor Swift,2016,15
Taylor Swift,2017,18
Taylor Swift,2018,18
Taylor Swift,2019,18
Taylor Swift,2020,20
Taylor Swift,2021,21
Taylor Swift,2022,27
Taylor Swift,2023,34
Taylor Swift,2024,36
Taylor Swift,2025,44
Taylor Swift,2026,49
The Black Eyed Peas,2000,0
The Black Eyed Peas,2001,0
The Black Eyed Peas,2002,0
The Black Eyed Peas,2003,0
The Black Eyed Peas,2004,0
The Black Eyed Peas,2005,0
The Black Eyed Peas,2006,0
The Black Eyed Peas,2007,0
The Black Eyed Peas,2008,0
The Black Eyed Peas,2009,26
The Black Eyed Peas,2010,28
The Black Eyed Peas,2011,28
The Black Eyed Peas,2012,28
The Black Eyed Peas,2013,28
The Black Eyed Peas,2014,28
The Black Eyed Peas,2015,28
The Black Eyed Peas,2016,28
The Black Eyed Peas,2017,28
The Black Eyed Peas,2018,28
The Black Eyed Peas,2019,28
The Black Eyed Peas,2020,28
The Black Eyed Peas,2021,28
The Black Eyed Peas,2022,28
The Black Eyed Peas,2023,28
The Black Eyed Peas,2024,28
The Black Eyed Peas,2025,28
The Black Eyed Peas,2026,28
The Weeknd,2000,0
The Weeknd,2001,0
The Weeknd,2002,0
The Weeknd,2003,0
The Weeknd,2004,0
The Weeknd,2005,0
The Weeknd,2006,0
The Weeknd,2007,0
The Weeknd,2008,0
The Weeknd,2009,0
The Weeknd,2010,0
The Weeknd,2011,0
The Weeknd,2012,0
The Weeknd,2013,0
The Weeknd,2014,0
The Weeknd,2015,9
The Weeknd,2016,9
The Weeknd,2017,10
The Weeknd,2018,10
The Weeknd,2019,11
The Weeknd,2020,15
The Weeknd,2021,17
The Weeknd,2022,17
The Weeknd,2023,18
The Weeknd,2024,18
The Weeknd,2025,18
The Weeknd,2026,18
Usher,2000,0
Usher,2001,5
Usher,2002,10
Usher,2003,10
Usher,2004,32
Usher,2005,32
Usher,2006,32
Usher,2007,32
Usher,2008,35
Usher,2009,35
Usher,2010,39
Usher,2011,39
Usher,2012,39
Usher,2013,39
Usher,2014,39
Usher,2015,39
Usher,2016,39
Usher,2017,39
Usher,2018,39
Usher,2019,39
Usher,2020,39
Usher,2021,39
Usher,2022,39
Usher,2023,39
Usher,2024,39
Usher,2025,39
Usher,2026,39
Vertical Horizon,2000,1
Vertical Horizon,2001,1
Vertical Horizon,2002,1
Vertical Horizon,2003,1
Vertical Horizon,2004,1
Vertical Horizon,2005,1
Vertical Horizon,2006,1
Vertical Horizon,2007,1
Vertical Horizon,2008,1
Vertical Horizon,2009,1
Vertical Horizon,2010,1
Vertical Horizon,2011,1
Vertical Horizon,2012,1
Vertical Horizon,2013,1
Vertical Horizon,2014,1
Vertical Horizon,2015,1
Vertical Horizon,2016,1
Vertical Horizon,2017,1
Vertical Horizon,2018,1
